ID,시설명,실패사유,작업구분
416906628,"충청남도 아산시 아산충무병원 국화원",검색 안됨,명칭/주소/전화 동기화
468526445,"경북 안동시 경북도립노인전문요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
468710958,"경남 양산시 천주교부산교구 하늘공원 봉안당",검색 안됨,명칭/주소/전화 동기화
484589358,"제주특별자치도 제주시 옥불사 봉안당",검색 안됨,명칭/주소/전화 동기화
527306837,"전남 진도군 향동밀양박씨청제공파납골당",검색 안됨,명칭/주소/전화 동기화
530077252,"충북 옥천군 초계주씨봉안당",검색 안됨,명칭/주소/전화 동기화
586420417,"경기 남양주시 무향사 수목장",검색 안됨,명칭/주소/전화 동기화
596087834,"일산수목장",유사도 낮음,명칭/주소/전화 동기화
597838670,"경기 광주시 ROTC추모공원",검색 안됨,명칭/주소/전화 동기화
601564584,"서울 서초구 서울추모공원 접수실",검색 안됨,명칭/주소/전화 동기화
609053243,"대구 동구 강남요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
659450306,"경북 성주군 하늘추모관",검색 안됨,명칭/주소/전화 동기화
692979791,"세종특별자치시 정안세종로 은하수공원 봉안당",검색 안됨,명칭/주소/전화 동기화
713488814,"서울 강북구 번동성당 장례식장",검색 안됨,명칭/주소/전화 동기화
736551892,"경북 안동시 안동추모공원 봉안",검색 안됨,명칭/주소/전화 동기화
745057112,"경북 영천시 법보사추모공원",검색 안됨,명칭/주소/전화 동기화
759278611,"경북 칠곡군 대구시립공원묘지 추모의집",검색 안됨,명칭/주소/전화 동기화
764802391,"경기 파주시 용미리 수목장713",검색 안됨,명칭/주소/전화 동기화
782191512,"경남 거창군 거창사건추모공원 천유문",검색 안됨,명칭/주소/전화 동기화
805839542,"경북 칠곡군 현대공원 제2묘원 추모의집",검색 안됨,명칭/주소/전화 동기화
809271001,"부산 사하구 한빛요양병원 장례식장",검색 안됨,명칭/주소/전화 동기화
817564265,"강원특별자치도 춘천시 동산추모공원 수목장",검색 안됨,명칭/주소/전화 동기화
821913922,"전남 보성군 삼호병원 장례식장",검색 안됨,명칭/주소/전화 동기화
844923743,"경기 김포시 김포시공설봉안당",검색 안됨,명칭/주소/전화 동기화
851590981,"강원특별자치도 삼척시 삼척추모공원 2단지 국가유공자보훈존",검색 안됨,명칭/주소/전화 동기화
886284015,"납골당",유사도 낮음,명칭/주소/전화 동기화
952503893,"화성함백산추모공원 수목장",유사도 낮음,명칭/주소/전화 동기화
973962748,"경북 상주시 열방센터 추모공원",검색 안됨,명칭/주소/전화 동기화
991628826,"제주특별자치도 서귀포시 신산장례식장",검색 안됨,명칭/주소/전화 동기화
997742163,"충청남도 서천군 장례식장상예원",검색 안됨,명칭/주소/전화 동기화
1021332092,"강원특별자치도 정선군 함백광업소 추모공원",검색 안됨,명칭/주소/전화 동기화
1061863624,"경남 함안군 아라한국병원 장례식장",검색 안됨,명칭/주소/전화 동기화
1083906671,"대전 동구 푸디스트 쉴낙원남대전장례식장",검색 안됨,명칭/주소/전화 동기화
1113018015,"광주 북구 무등장례식장",검색 안됨,명칭/주소/전화 동기화
1125531611,"경상북도 영주시 실로암추모관",검색 안됨,명칭/주소/전화 동기화
