ID,Name,Type,Address,NormalizedName,Note
"2070281744","태안군 안면도장례식장","funeral","충남 태안군 안면읍 안면대로 2642","태안군안면도","No exact match in 2023 data"
"9943507","신천제일요양병원 장례식장","funeral","경기 시흥시 호현로10번길 7-1","신천제일요양병원","No exact match in 2023 data"
"1436735639","펫포레스트 반려동물장례식장 남양주점","pet","경기 남양주시 와부읍 수레로 699","펫포레스트반려동물장례식장남양주점","No exact match in 2023 data"
"25084101","순천시립추모공원 봉안당","park","전남 순천시 양율길 132","순천시립추모공원봉안당","No exact match in 2023 data"
"16284176","순천향대학교 구미병원 장례식장","funeral","경북 구미시 1공단로 179","순천향대학교구미병원","No exact match in 2023 data"
"26822740","강릉고려병원","funeral","강원특별자치도 강릉시 옥가로 30","강릉고려","No exact match in 2023 data"
"17","천안공원묘원","park","충청남도 천안시 동남구 광덕면 광덕로 567","천안공원묘원","No exact match in 2023 data"
"15745044","새롬재활요양병원 장례식장","funeral","경남 함안군 칠원읍 예곡1길 13","새롬재활요양병원","No exact match in 2023 data"
"17573805","청주성모병원 장례식장","funeral","충청북도 청주시 청원구 주성로 173-19 (주중동)","청주성모병원","No exact match in 2023 data"
"10156881","광혜병원 장례식장","funeral","부산 동래구 미남로146번길 11","광혜병원","No exact match in 2023 data"
"1233791196","하늘납골당","charnel","경기 파주시 광탄면 명봉산로 277","하늘납골당","No exact match in 2023 data"
"10178986","경기도의료원 의정부병원 장례식장","funeral","경기 의정부시 흥선로 142","경기도의료원의정부병원","No exact match in 2023 data"
"747969811","파주수목장","natural","경기 고양시 덕양구 호국로 1393","파주수목장","No exact match in 2023 data"
"692979791","은하수공원 봉안당","charnel","세종특별자치시 정안세종로 1527","은하수공원봉안당","No exact match in 2023 data"
"627151634","김해추모의공원 납골당","charnel","경남 김해시 주촌면 서부로1637번길 574","김해추모의공원납골당","No exact match in 2023 data"
"235444830","이담장례식장","funeral","경기 동두천시 삼육사로 747","이담","No exact match in 2023 data"
"692846251","쉴낙원 양산시민장례식장","funeral","경남 양산시 상북면 와곡1길 26","쉴낙원양산시민","No exact match in 2023 data"
"952503893","화성함백산추모공원 수목장","park","경기 화성시 매송면 숙곡리 산 2-2","화성함백산추모공원수목장","No exact match in 2023 data"
"2057213317","거창사건추모공원 이벤트광장","park","경남 거창군 신원면 신차로 2924","거창사건추모공원이벤트광장","No exact match in 2023 data"
"1115312660","우석장례식장","funeral","전북특별자치도 김제시 서암4길 45","우석","No exact match in 2023 data"
"396362882","사천시누리원 봉안당","charnel","경남 사천시 해안관광로 208-66","사천시누리원봉안당","No exact match in 2023 data"
